sim,time,persistence,TimeValue,FILE
10,4.2,0.05,380,data/10_4.2_0.05_380.vtu
10,4.3,0.05,382,data/10_4.3_0.05_382.vtu
10,4.4,0.05,384,data/10_4.4_0.05_384.vtu
10,4.5,0.05,386,data/10_4.5_0.05_386.vtu
11,3.5,0.05,69,data/11_3.5_0.05_69.vtu
11,3.6,0.05,71,data/11_3.6_0.05_71.vtu
11,3.7,0.05,73,data/11_3.7_0.05_73.vtu
11,3.8,0.05,75,data/11_3.8_0.05_75.vtu
11,3.9,0.05,77,data/11_3.9_0.05_77.vtu
11,4,0.05,79,data/11_4_0.05_79.vtu
11,4.2,0.05,83,data/11_4.2_0.05_83.vtu
11,4.3,0.05,85,data/11_4.3_0.05_85.vtu
11,4.4,0.05,87,data/11_4.4_0.05_87.vtu
11,4.5,0.05,89,data/11_4.5_0.05_89.vtu
12,3.5,0.05,69,data/12_3.5_0.05_69.vtu
12,3.6,0.05,71,data/12_3.6_0.05_71.vtu
12,3.7,0.05,73,data/12_3.7_0.05_73.vtu
12,3.8,0.05,75,data/12_3.8_0.05_75.vtu
12,3.9,0.05,77,data/12_3.9_0.05_77.vtu
12,4,0.05,79,data/12_4_0.05_79.vtu
12,4.2,0.05,83,data/12_4.2_0.05_83.vtu
12,4.3,0.05,85,data/12_4.3_0.05_85.vtu
12,4.4,0.05,87,data/12_4.4_0.05_87.vtu
12,4.5,0.05,89,data/12_4.5_0.05_89.vtu
13,3.5,0.05,69,data/13_3.5_0.05_69.vtu
13,3.6,0.05,71,data/13_3.6_0.05_71.vtu
13,3.7,0.05,73,data/13_3.7_0.05_73.vtu
13,3.8,0.05,75,data/13_3.8_0.05_75.vtu
13,3.9,0.05,77,data/13_3.9_0.05_77.vtu
13,4,0.05,79,data/13_4_0.05_79.vtu
13,4.2,0.05,83,data/13_4.2_0.05_83.vtu
13,4.3,0.05,85,data/13_4.3_0.05_85.vtu
13,4.4,0.05,87,data/13_4.4_0.05_87.vtu
13,4.5,0.05,89,data/13_4.5_0.05_89.vtu
14,3.5,0.05,69,data/14_3.5_0.05_69.vtu
14,3.6,0.05,71,data/14_3.6_0.05_71.vtu
14,3.7,0.05,73,data/14_3.7_0.05_73.vtu
14,3.8,0.05,75,data/14_3.8_0.05_75.vtu
14,3.9,0.05,77,data/14_3.9_0.05_77.vtu
14,4,0.05,79,data/14_4_0.05_79.vtu
14,4.2,0.05,83,data/14_4.2_0.05_83.vtu
14,4.3,0.05,85,data/14_4.3_0.05_85.vtu
14,4.4,0.05,87,data/14_4.4_0.05_87.vtu
14,4.5,0.05,89,data/14_4.5_0.05_89.vtu
15,3.5,0.05,69,data/15_3.5_0.05_69.vtu
15,3.6,0.05,71,data/15_3.6_0.05_71.vtu
15,3.7,0.05,73,data/15_3.7_0.05_73.vtu
15,3.8,0.05,75,data/15_3.8_0.05_75.vtu
15,3.9,0.05,77,data/15_3.9_0.05_77.vtu
15,4,0.05,79,data/15_4_0.05_79.vtu
15,4.2,0.05,83,data/15_4.2_0.05_83.vtu
15,4.3,0.05,85,data/15_4.3_0.05_85.vtu
15,4.4,0.05,87,data/15_4.4_0.05_87.vtu
15,4.5,0.05,89,data/15_4.5_0.05_89.vtu
16,3.5,0.05,69,data/16_3.5_0.05_69.vtu
16,3.6,0.05,71,data/16_3.6_0.05_71.vtu
16,3.7,0.05,73,data/16_3.7_0.05_73.vtu
16,3.8,0.05,75,data/16_3.8_0.05_75.vtu
16,3.9,0.05,77,data/16_3.9_0.05_77.vtu
16,4,0.05,79,data/16_4_0.05_79.vtu
16,4.2,0.05,83,data/16_4.2_0.05_83.vtu
16,4.3,0.05,85,data/16_4.3_0.05_85.vtu
16,4.4,0.05,87,data/16_4.4_0.05_87.vtu
16,4.5,0.05,89,data/16_4.5_0.05_89.vtu
17,3.5,0.05,69,data/17_3.5_0.05_69.vtu
17,3.6,0.05,71,data/17_3.6_0.05_71.vtu
17,3.7,0.05,73,data/17_3.7_0.05_73.vtu
17,3.8,0.05,75,data/17_3.8_0.05_75.vtu
17,3.9,0.05,77,data/17_3.9_0.05_77.vtu
17,4,0.05,79,data/17_4_0.05_79.vtu
17,4.2,0.05,83,data/17_4.2_0.05_83.vtu
17,4.3,0.05,85,data/17_4.3_0.05_85.vtu
17,4.4,0.05,87,data/17_4.4_0.05_87.vtu
17,4.5,0.05,89,data/17_4.5_0.05_89.vtu
18,3.5,0.05,69,data/18_3.5_0.05_69.vtu
18,3.6,0.05,71,data/18_3.6_0.05_71.vtu
18,3.7,0.05,73,data/18_3.7_0.05_73.vtu
18,3.8,0.05,75,data/18_3.8_0.05_75.vtu
18,3.9,0.05,77,data/18_3.9_0.05_77.vtu
18,4,0.05,79,data/18_4_0.05_79.vtu
18,4.2,0.05,83,data/18_4.2_0.05_83.vtu
